주소,재산피해소계
경기도 이천시 사음동,1352579
경기도 이천시 설성면,24129
경기도 이천시 송정동,594
경기도 이천시 신둔면,11050
경기도 이천시 율면,8570
경기도 이천시 장호원읍,115843
경기도 이천시 호법면,1450444
경기도 파주시 광탄면,799352
경기도 파주시 군내면,1564
경기도 파주시 금촌동,4500
경기도 파주시 동패동,6767
경기도 파주시 문발동,321190
경기도 파주시 문산읍,383117
경기도 파주시 법원읍,52513
경기도 파주시 상지석동,1329238
경기도 파주시 서패동,5990
경기도 파주시 신촌동,37989
경기도 파주시 야당동,3110
경기도 파주시 야동동,152711
경기도 파주시 연다산동,1210
경기도 파주시 오도동,11107
경기도 파주시 월롱면,1369074
경기도 파주시 적성면,24733
경기도 파주시 조리읍,345250
경기도 파주시 탄현면,191890
경기도 파주시 파주읍,30169
경기도 파주시 파평면,1834
경기도 평택시 가재동,9397
경기도 평택시 고덕면,57168
경기도 평택시 도일동,490
경기도 평택시 독곡동,120417
경기도 평택시 모곡동,6460
경기도 평택시 서탄면,57935
경기도 평택시 세교동,588
경기도 평택시 소사동,4557
경기도 평택시 안중읍,31366
경기도 평택시 오성면,195420
경기도 평택시 월곡동,279640
경기도 평택시 유천동,1517
경기도 평택시 장당동,9549
경기도 평택시 진위면,32091
경기도 평택시 청룡동,88508
경기도 평택시 청북읍,275110
경기도 평택시 칠원동,56843
경기도 평택시 통복동,1476
경기도 평택시 팽성읍,244897
경기도 평택시 포승읍,174409
경기도 평택시 합정동,0
경기도 평택시 현덕면,288724
경기도 포천시 가산면,2921059
경기도 포천시 관인면,305114
경기도 포천시 군내면,251485
경기도 포천시 내촌면,780568
경기도 포천시 동교동,59373
경기도 포천시 선단동,175700
경기도 포천시 설운동,1124175
경기도 포천시 소흘읍,1211397
경기도 포천시 신북면,533398
경기도 포천시 영북면,4027
경기도 포천시 영중면,263682
경기도 포천시 이동면,571024
경기도 포천시 일동면,265835
경기도 포천시 자작동,5251
경기도 포천시 창수면,61753
경기도 포천시 화현면,139855
경기도 하남시 감북동,534763
경기도 하남시 감일동,448
경기도 하남시 광암동,4874
경기도 하남시 교산동,147400
경기도 하남시 덕풍동,2017
경기도 하남시 미사동,5883
경기도 하남시 상사창동,294339
경기도 하남시 상산곡동,116300
경기도 하남시 창우동,324158
경기도 하남시 천현동,115818
경기도 하남시 초이동,255924
경기도 하남시 초일동,8161
경기도 하남시 춘궁동,5718
경기도 하남시 하사창동,162458
경기도 하남시 하산곡동,117
경기도 화성시 금곡동,10948
경기도 화성시 기산동,3004
경기도 화성시 기안동,24635
경기도 화성시 남양읍,1541973
경기도 화성시 마도면,640009
경기도 화성시 매송면,38840
경기도 화성시 반월동,11546
경기도 화성시 반정동,12715
경기도 화성시 방교동,78460
경기도 화성시 배양동,882211
경기도 화성시 봉담읍,1945907
경기도 화성시 비봉면,762536
경기도 화성시 서신면,1288860
경기도 화성시 석우동,6301
경기도 화성시 송산면,237798
경기도 화성시 신동,1551
경기도 화성시 안녕동,640791
경기도 화성시 양감면,1546262
경기도 화성시 우정읍,9969932
경기도 화성시 장안면,1310276
경기도 화성시 정남면,2504707
경기도 화성시 팔탄면,2793572
경기도 화성시 향남읍,10377206
경기도 화성시 황계동,22748
경상남도 거제시 거제면,1956
경상남도 거제시 사등면,5583
경상남도 거제시 상동동,1748
경상남도 거제시 연초면,27787
경상남도 거제시 옥포동,104
경상남도 거제시 장승포동,1035
경상남도 거제시 하청면,4830
경상남도 거창군 가조면,10308
경상남도 거창군 거창읍,1060
경상남도 거창군 남상면,663059
경상남도 거창군 마리면,0
경상남도 거창군 위천면,1421
경상남도 고성군 개천면,181710
경상남도 고성군 고성읍,292
경상남도 고성군 구만면,11114
경상남도 고성군 동해면,42001
경상남도 고성군 마암면,120
경상남도 고성군 삼산면,1873
경상남도 고성군 영오면,7744
경상남도 고성군 하이면,45348
경상남도 고성군 하일면,314
경상남도 김해시 구산동,2277
경상남도 김해시 대동면,176515
경상남도 김해시 부곡동,13555
경상남도 김해시 삼계동,1566
경상남도 김해시 상동면,171704
경상남도 김해시 생림면,225249
경상남도 김해시 안동,7246
경상남도 김해시 어방동,2528
경상남도 김해시 외동,34670
경상남도 김해시 유하동,5353
경상남도 김해시 장유동,145
경상남도 김해시 주촌면,91998
경상남도 김해시 지내동,3605
경상남도 김해시 진례면,43563
경상남도 김해시 진영읍,18338
경상남도 김해시 한림면,2982074
경상남도 김해시 흥동,6965
경상남도 남해군 고현면,17388
경상남도 남해군 남면,181
경상남도 남해군 남해읍,714
경상남도 남해군 삼동면,47241
경상남도 남해군 설천면,71798
경상남도 남해군 이동면,6391
경상남도 남해군 창선면,9168
경상남도 밀양시 단장면,14602
경상남도 밀양시 무안면,67950
경상남도 밀양시 부북면,2213
경상남도 밀양시 산외면,24153
경상남도 밀양시 삼랑진읍,428598
경상남도 밀양시 상남면,104886
경상남도 밀양시 청도면,10007
경상남도 밀양시 초동면,546652
경상남도 밀양시 하남읍,204164
경상남도 사천시 곤양면,5234
